Nodes,Probability,Diameter,Matrix
3,0.3662,2,"[[0, 1, 1], [1, 0, 0], [1, 0, 0]]"
3,0.3662,2,"[[0, 0, 1], [0, 0, 1], [1, 1, 0]]"
3,0.3662,1,"[[0, 1, 1], [1, 0, 1], [1, 1, 0]]"
3,0.3662,1,"[[0, 1, 1], [1, 0, 1], [1, 1, 0]]"
3,0.3662,2,"[[0, 1, 0], [1, 0, 1], [0, 1, 0]]"
3,0.3662,2,"[[0, 1, 1], [1, 0, 0], [1, 0, 0]]"
3,0.3662,1,"[[0, 1, 1], [1, 0, 1], [1, 1, 0]]"
3,0.3662,2,"[[0, 1, 0], [1, 0, 1], [0, 1, 0]]"
3,0.3662,2,"[[0, 1, 0], [1, 0, 1], [0, 1, 0]]"
3,0.3662,2,"[[0, 0, 1], [0, 0, 1], [1, 1, 0]]"
4,0.3466,2,"[[0, 1, 0, 1], [1, 0, 1, 0], [0, 1, 0, 1], [1, 0, 1, 0]]"
4,0.3466,3,"[[0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 0], [1, 1, 0, 0]]"
4,0.3466,2,"[[0, 1, 1, 0], [1, 0, 1, 1], [1, 1, 0, 0], [0, 1, 0, 0]]"
4,0.3466,2,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]"
4,0.3466,2,"[[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]"
4,0.3466,2,"[[0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 0, 1], [0, 1, 1, 0]]"
4,0.3466,3,"[[0, 1, 0, 1], [1, 0, 0, 0], [0, 0, 0, 1], [1, 0, 1, 0]]"
4,0.3466,3,"[[0, 1, 0, 1], [1, 0, 0, 0], [0, 0, 0, 1], [1, 0, 1, 0]]"
4,0.3466,3,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]"
4,0.3466,3,"[[0, 0, 1, 0], [0, 0, 0, 1], [1, 0, 0, 1], [0, 1, 1, 0]]"
5,0.3219,3,"[[0, 1, 0, 0, 0], [1, 0, 1, 1, 0], [0, 1, 0, 1, 0], [0, 1, 1, 0, 1], [0, 0, 0, 1, 0]]"
5,0.3219,3,"[[0, 0, 0, 0, 1], [0, 0, 1, 1, 0], [0, 1, 0, 1, 0], [0, 1, 1, 0, 1], [1, 0, 0, 1, 0]]"
5,0.3219,3,"[[0, 0, 1, 1, 0], [0, 0, 0, 1, 0], [1, 0, 0, 1, 1], [1, 1, 1, 0, 0], [0, 0, 1, 0, 0]]"
5,0.3219,3,"[[0, 1, 0, 1, 0], [1, 0, 0, 0, 0], [0, 0, 0, 1, 0], [1, 0, 1, 0, 1], [0, 0, 0, 1, 0]]"
5,0.3219,2,"[[0, 1, 0, 1, 1], [1, 0, 0, 1, 0], [0, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 0, 1, 1, 0]]"
5,0.3219,2,"[[0, 0, 1, 1, 0], [0, 0, 1, 0, 1], [1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0]]"
5,0.3219,4,"[[0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 1], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0]]"
5,0.3219,3,"[[0, 1, 0, 0, 0], [1, 0, 1, 0, 1], [0, 1, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0]]"
5,0.3219,4,"[[0, 1, 1, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 0, 1, 0]]"
5,0.3219,3,"[[0, 1, 0, 0, 1], [1, 0, 1, 0, 0], [0, 1, 0, 1, 1], [0, 0, 1, 0, 0], [1, 0, 1, 0, 0]]"
6,0.2986,5,"[[0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0], [0, 1, 0, 1, 0, 0], [0, 0, 1, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0]]"
6,0.2986,3,"[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 1, 1], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1], [1, 1, 0, 0, 1, 0]]"
